id	level	description
RF00001	Rfam	5S ribosomal RNA
RF00002	Rfam	5.8S ribosomal RNA
RF00003	Rfam	U1 spliceosomal RNA
RF00004	Rfam	U2 spliceosomal RNA
RF00006	Rfam	Vault RNA
RF00007	Rfam	U12 minor spliceosomal RNA
RF00008	Rfam	Hammerhead ribozyme (type III)
RF00009	Rfam	Nuclear RNase P
RF00010	Rfam	Bacterial RNase P class A
RF00011	Rfam	Bacterial RNase P class B
RF00012	Rfam	Small nucleolar RNA U3
RF00013	Rfam	6S / SsrS RNA
RF00014	Rfam	DsrA RNA
RF00015	Rfam	U4 spliceosomal RNA
RF00016	Rfam	Small nucleolar RNA SNORD14
RF00017	Rfam	Metazoan signal recognition particle RNA
RF00018	Rfam	CsrB/RsmB RNA family
RF00019	Rfam	Y RNA
RF00020	Rfam	U5 spliceosomal RNA
RF00021	Rfam	Spot 42 RNA
RF00022	Rfam	GcvB RNA
RF00023	Rfam	transfer-messenger RNA
RF00024	Rfam	Vertebrate telomerase RNA
RF00025	Rfam	Ciliate telomerase RNA
RF00026	Rfam	U6 spliceosomal RNA
RF00027	Rfam	let-7 microRNA precursor
RF00028	Rfam	Group I catalytic intron
RF00029	Rfam	Group II catalytic intron
RF00030	Rfam	RNase MRP
RF00031	Rfam	Selenocysteine insertion sequence 1
RF00032	Rfam	Histone 3' UTR stem-loop
RF00033	Rfam	MicF RNA
RF00034	Rfam	RprA RNA
RF00035	Rfam	OxyS RNA
RF00036	Rfam	HIV Rev response element
RF00037	Rfam	Iron response element I
RF00038	Rfam	PrfA thermoregulator UTR
RF00039	Rfam	DicF RNA
RF00040	Rfam	RNase E 5' UTR element
RF00041	Rfam	Enteroviral 3' UTR element
RF00042	Rfam	CopA-like RNA
RF00043	Rfam	R1162-like plasmid antisense RNA
RF00044	Rfam	Bacteriophage pRNA
RF00045	Rfam	Small nucleolar RNA SNORA73 family
RF00046	Rfam	Small nucleolar RNA R30/Z108
RF00047	Rfam	mir-2 microRNA precursor
RF00048	Rfam	Enterovirus cis-acting replication element
RF00049	Rfam	Small nucleolar RNA SNORD36
RF00050	Rfam	FMN riboswitch (RFN element)
RF00051	Rfam	mir-17 microRNA precursor family
RF00052	Rfam	lin-4 microRNA precursor
RF00053	Rfam	mir-7 microRNA precursor
RF00054	Rfam	Small nucleolar RNA SNORD25
RF00055	Rfam	Small nucleolar RNA SNORD96 family
RF00056	Rfam	Small nucleolar RNA SNORA71
RF00057	Rfam	RyhB RNA
RF00058	Rfam	HgcF RNA
RF00059	Rfam	TPP riboswitch (THI element)
RF00060	Rfam	HgcE RNA
RF00061	Rfam	Hepatitis C virus internal ribosome entry site
RF00062	Rfam	HgcC family RNA
RF00063	Rfam	SscA RNA
RF00064	Rfam	HgcG RNA
RF00065	Rfam	Small nucleolar RNA snoR9
RF00066	Rfam	U7 small nuclear RNA
RF00067	Rfam	Small nucleolar RNA SNORD15
RF00068	Rfam	Small nucleolar RNA SNORD21
RF00069	Rfam	Small nucleolar RNA SNORD24
RF00070	Rfam	Small nucleolar RNA SNORD29
RF00071	Rfam	Small nucleolar RNA SNORD73
RF00072	Rfam	Small nucleolar RNA SNORA75
RF00073	Rfam	mir-156 microRNA precursor
RF00074	Rfam	mir-29  microRNA precursor
RF00075	Rfam	mir-166 microRNA precursor
RF00076	Rfam	mir-181 microRNA precursor
RF00077	Rfam	SraB RNA
RF00078	Rfam	MicA sRNA
RF00079	Rfam	OmrA-B family
RF00080	Rfam	yybP-ykoY leader
RF00081	Rfam	ArcZ RNA
RF00082	Rfam	SraG RNA
RF00083	Rfam	GlmZ RNA activator of glmS mRNA
RF00084	Rfam	CsrC RNA family
RF00085	Rfam	Small nucleolar RNA SNORD28
RF00086	Rfam	Small nucleolar RNA SNORD27
RF00087	Rfam	Small nucleolar RNA SNORD26
RF00088	Rfam	Small nucleolar RNA SNORD30
RF00089	Rfam	Small nucleolar RNA SNORD31
RF00090	Rfam	Small nucleolar RNA SNORA74
RF00091	Rfam	Small nucleolar RNA SNORA62/SNORA6 family
RF00092	Rfam	Small nucleolar RNA SNORA63
RF00093	Rfam	Small nucleolar RNA SNORD18
RF00094	Rfam	Hepatitis delta virus ribozyme
RF00095	Rfam	Pyrococcus C/D box small nucleolar RNA
RF00096	Rfam	U8 small nucleolar RNA
RF00097	Rfam	Plant small nucleolar RNA R71
RF00099	Rfam	Small nucleolar RNA SNORD22
RF00100	Rfam	7SK RNA
RF00101	Rfam	SraC/RyeA RNA
RF00102	Rfam	VA RNA
RF00103	Rfam	mir-1 microRNA precursor family
RF00104	Rfam	mir-10 microRNA precursor family
RF00105	Rfam	Small nucleolar RNA SNORD115
RF00106	Rfam	RNAI
RF00107	Rfam	FinP
RF00108	Rfam	Small nucleolar RNA SNORD116
RF00109	Rfam	Vimentin 3' UTR protein-binding region
RF00110	Rfam	RybB RNA
RF00111	Rfam	RyeB RNA
RF00112	Rfam	CyaR/Rye RNA
RF00113	Rfam	QUAD RNA
RF00114	Rfam	Ribosomal S15 leader
RF00115	Rfam	IS061 RNA
RF00116	Rfam	C0465 RNA
RF00117	Rfam	C0719 RNA
RF00118	Rfam	rydB RNA
RF00119	Rfam	C0299 RNA
RF00121	Rfam	MicC RNA
RF00122	Rfam	GadY
RF00124	Rfam	IS102 RNA
RF00125	Rfam	IS128 RNA
RF00126	Rfam	ryfA RNA
RF00128	Rfam	Glm Y RNA activator of glmS mRNA
RF00129	Rfam	mir-103/107 microRNA precursor
RF00130	Rfam	mir-192/215 microRNA precursor
RF00131	Rfam	mir-30 microRNA precursor
RF00132	Rfam	Small nucleolar RNA R24
RF00133	Rfam	Small nucleolar RNA Z195/SNORD33/SNORD32 family
RF00134	Rfam	Small nucleolar RNA Z196/R39/R59 family
RF00135	Rfam	Small nucleolar RNA Z223
RF00136	Rfam	Small nucleolar RNA SNORD81
RF00137	Rfam	Small nucleolar RNA SNORD83
RF00138	Rfam	Small nucleolar RNA SNORD16
RF00139	Rfam	Small nucleolar RNA SNORA72
RF00140	Rfam	Alpha operon ribosome binding site
RF00142	Rfam	Small nucleolar RNA Z118/Z121/Z120
RF00143	Rfam	mir-6 microRNA precursor
RF00144	Rfam	mir-199 microRNA precursor
RF00145	Rfam	Small nucleolar RNA Z105
RF00147	Rfam	Small nucleolar RNA SNORD34
RF00149	Rfam	Small nucleolar RNA Z103
RF00150	Rfam	Small nucleolar RNA SNORD42
RF00151	Rfam	Small nucleolar RNA SNORD58
RF00152	Rfam	Small nucleolar RNA SNORD79
RF00153	Rfam	Small nucleolar RNA SNORD62
RF00154	Rfam	Small nucleolar RNA SNORD63
RF00155	Rfam	Small nucleolar RNA SNORA66
RF00156	Rfam	Small nucleolar RNA SNORA70
RF00157	Rfam	Small nucleolar RNA SNORD55/SNORD39
RF00158	Rfam	Small nucleolar RNA SNORD82
RF00159	Rfam	Small nucleolar RNA Z168/Z174
RF00160	Rfam	Small nucleolar RNA Z159/U59
RF00161	Rfam	Nanos 3' UTR translation control element
RF00162	Rfam	SAM riboswitch (S box leader)
RF00163	Rfam	Hammerhead ribozyme (type I)
RF00164	Rfam	Coronavirus 3' stem-loop II-like motif (s2m)
RF00165	Rfam	Coronavirus 3' UTR pseudoknot
RF00166	Rfam	PrrB/RsmZ RNA family
RF00167	Rfam	Purine riboswitch
RF00168	Rfam	Lysine riboswitch
RF00169	Rfam	Bacterial small signal recognition particle RNA
RF00170	Rfam	Retron msr RNA
RF00171	Rfam	Tombusvirus 5' UTR
RF00172	Rfam	ctgf/hcs24 CAESAR
RF00173	Rfam	Hairpin ribozyme
RF00174	Rfam	Cobalamin riboswitch
RF00175	Rfam	Human immunodeficiency virus type 1 dimerisation initiation site
RF00176	Rfam	Tombusvirus 3' UTR region IV
RF00178	Rfam	mir-24 microRNA precursor family
RF00179	Rfam	GAIT element
RF00180	Rfam	Renin stability regulatory element (REN-SRE)
RF00181	Rfam	Small nucleolar RNA SNORD113/SNORD114 family
RF00182	Rfam	Coronavirus packaging signal
RF00183	Rfam	G-CSF factor stem-loop destabilising element (SLDE)
RF00184	Rfam	Potato virus X cis-acting regulatory element
RF00185	Rfam	Flavivirus 3' UTR cis-acting replication element (CRE)
RF00186	Rfam	Small nucleolar RNA SNORD101
RF00187	Rfam	Small nucleolar RNA SNORD102
RF00188	Rfam	Small nucleolar RNA SNORD103/SNORD85
RF00189	Rfam	Small nucleolar RNA SNORD95
RF00190	Rfam	Small nucleolar RNA SNORA16B/SNORA16A family
RF00191	Rfam	Small nucleolar RNA SNORA57
RF00192	Rfam	Bovine leukaemia virus RNA packaging signal
RF00193	Rfam	Citrus tristeza virus replication signal
RF00194	Rfam	Rubella virus 3' cis-acting element
RF00195	Rfam	RsmY RNA family
RF00196	Rfam	Alfalfa mosaic virus RNA 1 5' UTR stem-loop
RF00198	Rfam	SL1 RNA
RF00199	Rfam	SL2 RNA
RF00200	Rfam	Small nucleolar RNA Z199
RF00201	Rfam	Small nucleolar RNA Z278
RF00202	Rfam	Small nucleolar RNA R66
RF00203	Rfam	Small nucleolar RNA R160
RF00204	Rfam	Small nucleolar RNA R12
RF00205	Rfam	Small nucleolar RNA R41
RF00206	Rfam	Small nucleolar RNA U54
RF00207	Rfam	K10 transport/localisation element (TLS)
RF00208	Rfam	Small nucleolar RNA R72
RF00209	Rfam	Pestivirus internal ribosome entry site (IRES)
RF00210	Rfam	Aphthovirus internal ribosome entry site (IRES)
RF00211	Rfam	Small nucleolar RNA SNORD35
RF00212	Rfam	Small nucleolar RNA SNORD38
RF00213	Rfam	Small nucleolar RNA R38
RF00214	Rfam	Retrovirus direct repeat 1 (dr1)
RF00215	Rfam	Tombus virus defective interfering (DI) RNA region 3
RF00216	Rfam	c-myc internal ribosome entry site (IRES)
RF00217	Rfam	Small nucleolar RNA SNORD20
RF00218	Rfam	Small nucleolar RNA SNORD46
RF00220	Rfam	Human rhinovirus internal cis-acting regulatory element (CRE)
RF00221	Rfam	Small nucleolar RNA SNORD43
RF00222	Rfam	Bag-1 internal ribosome entry site (IRES)
RF00223	Rfam	bip internal ribosome entry site (IRES)
RF00224	Rfam	FGF-2 internal ribosome entry site (IRES)
RF00225	Rfam	Tobamovirus internal ribosome entry site (IRES)
RF00226	Rfam	n-myc internal ribosome entry site (IRES)
RF00227	Rfam	FIE3 (ftz instability element 3') element
RF00228	Rfam	Hepatitis A virus internal ribosome entry site (IRES)
RF00229	Rfam	Picornavirus internal ribosome entry site (IRES)
RF00230	Rfam	T-box leader
