id	level	description
46458	sf	Globin-like
46548	sf	alpha-helical ferredoxin
46557	sf	GreA transcript cleavage protein, N-terminal domain
46561	sf	Ribosomal protein L29 (L29p)
46565	sf	Chaperone J-domain
46575	sf	DNA polymerase III theta subunit-like
46579	sf	Prefoldin
46585	sf	HR1 repeat
46589	sf	tRNA-binding arm
46596	sf	Eukaryotic DNA topoisomerase I, dispensable insert domain
46600	sf	C-terminal UvrC-binding domain of UvrB
46604	sf	Epsilon subunit of F1F0-ATP synthase C-terminal domain
46609	sf	Fe,Mn superoxide dismutase (SOD), N-terminal domain
46626	sf	Cytochrome c
46689	sf	Homeodomain-like
46767	sf	Methylated DNA-protein cysteine methyltransferase, C-terminal domain
46774	sf	ARID-like
46785	sf	"Winged helix" DNA-binding domain
46894	sf	C-terminal effector domain of the bipartite response regulators
46906	sf	Ribosomal protein L11, C-terminal domain
46911	sf	Ribosomal protein S18
46915	sf	Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domain 3
46919	sf	N-terminal Zn binding domain of HIV integrase
46924	sf	RNA polymerase subunit RPB10
46929	sf	DNA helicase RuvA subunit, C-terminal domain
46934	sf	UBA-like
46938	sf	CRAL/TRIO N-terminal domain
46942	sf	Elongation factor TFIIS domain 2
46946	sf	S13-like H2TH domain
46950	sf	Double-stranded DNA-binding domain
46955	sf	Putative DNA-binding domain
46966	sf	Spectrin repeat
46973	sf	Enzyme IIa from lactose specific PTS, IIa-lac
46977	sf	Succinate dehydrogenase/fumarate reductase flavoprotein C-terminal domain
46984	sf	Smac/diablo
46988	sf	Tubulin chaperone cofactor A
46992	sf	Ribosomal protein S20
46997	sf	Bacterial immunoglobulin/albumin-binding domains
47005	sf	Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex
47014	sf	Protozoan pheromone proteins
47027	sf	Acyl-CoA binding protein
47031	sf	Second domain of FERM
47040	sf	Kix domain of CBP (creb binding protein)
47045	sf	RAP domain-like
47050	sf	VHP, Villin headpiece domain
47055	sf	TAF(II)230 TBP-binding fragment
47060	sf	S15/NS1 RNA-binding domain
47072	sf	Cysteine alpha-hairpin motif
47077	sf	T4 endonuclease V
47082	sf	Fertilization protein
47090	sf	PGBD-like
47095	sf	HMG-box
47113	sf	Histone-fold
47144	sf	HSC20 (HSCB), C-terminal oligomerisation domain
47148	sf	Diol dehydratase, gamma subunit
47152	sf	Methane monooxygenase hydrolase, gamma subunit
47157	sf	Mitochondrial import receptor subunit Tom20
47162	sf	Apolipoprotein
47170	sf	Aspartate receptor, ligand-binding domain
47175	sf	Cytochromes
47188	sf	Hemerythrin-like
47195	sf	TMV-like viral coat proteins
47203	sf	Acyl-CoA dehydrogenase C-terminal domain-like
47212	sf	FKBP12-rapamycin-binding domain of FKBP-rapamycin-associated protein (FRAP)
47216	sf	Proteasome activator
47220	sf	alpha-catenin/vinculin-like
47226	sf	Histidine-containing phosphotransfer domain, HPT domain
47233	sf	Bacterial GAP domain
47240	sf	Ferritin-like
47266	sf	4-helical cytokines
47323	sf	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases
47336	sf	ACP-like
47345	sf	Colicin E immunity proteins
47353	sf	Retrovirus capsid dimerization domain-like
47364	sf	Domain of the SRP/SRP receptor G-proteins
47370	sf	Bromodomain
47380	sf	ROP protein
47384	sf	Homodimeric domain of signal transducing histidine kinase
47391	sf	Dimerization-anchoring domain of cAMP-dependent PK regulatory subunit
47396	sf	Transcription factor IIA (TFIIA), alpha-helical domain
47401	sf	Ectatomin subunits
47406	sf	SinR repressor dimerisation domain-like
