ID	Name	Namespace	Distance
UPA00002	2-deoxy-D-ribose 1-phosphate degradation	Unipathway	5
UPA00008	atrazine degradation	Unipathway	4
UPA00009	anthocyanin biosynthesis	Unipathway	4
UPA00010	1,3-diaminopropane biosynthesis	Unipathway	5
UPA00012	taurine biosynthesis	Unipathway	5
UPA00017	enterobactin biosynthesis	Unipathway	4
UPA00025	salicylate biosynthesis	Unipathway	4
UPA00026	metabolism	Unipathway	1
UPA00027	xenobiotic metabolism	Unipathway	2
UPA00028	(R)-pantothenate biosynthesis	Unipathway	5
UPA00029	staphyloxanthin biosynthesis	Unipathway	7
UPA00030	lipopolysaccharide biosynthesis	Unipathway	4
UPA00031	L-histidine biosynthesis	Unipathway	5
UPA00032	UDP-4-deoxy-4-formamido-beta-L-arabinose biosynthesis	Unipathway	6
UPA00033	L-lysine biosynthesis via AAA pathway	Unipathway	7
UPA00034	L-lysine biosynthesis via DAP pathway	Unipathway	7
UPA00035	L-tryptophan biosynthesis	Unipathway	5
UPA00036	4-amino-4-deoxy-alpha-L-arabinose undecaprenyl phosphate biosynthesis	Unipathway	4
UPA00038	UDP-alpha-D-glucuronate biosynthesis	Unipathway	6
UPA00040	acetoin degradation	Unipathway	4
UPA00041	D-glycero-D-manno-heptose 7-phosphate biosynthesis	Unipathway	5
UPA00042	D-alanine biosynthesis	Unipathway	5
UPA00043	D-alanine degradation	Unipathway	5
UPA00044	L-threonine degradation via aldolase pathway	Unipathway	6
UPA00045	nitrogen metabolism	Unipathway	2
UPA00046	L-threonine degradation via oxydo-reductase pathway	Unipathway	6
UPA00047	L-isoleucine biosynthesis	Unipathway	6
UPA00048	L-leucine biosynthesis	Unipathway	6
UPA00049	L-valine biosynthesis	Unipathway	6
UPA00050	L-threonine biosynthesis	Unipathway	6
UPA00051	L-methionine biosynthesis via de novo pathway	Unipathway	7
UPA00052	L-threonine degradation via propanoate pathway	Unipathway	6
UPA00053	chorismate biosynthesis	Unipathway	4
UPA00056	isopentenyl diphosphate biosynthesis via DXP pathway	Unipathway	6
UPA00057	isopentenyl diphosphate biosynthesis via mevalonate pathway	Unipathway	6
UPA00058	(R)-mevalonate biosynthesis	Unipathway	4
UPA00059	dimethylallyl diphosphate biosynthesis	Unipathway	5
UPA00060	thiamine diphosphate biosynthesis	Unipathway	5
UPA00061	alpha-ribazole biosynthesis	Unipathway	3
UPA00062	steroid biosynthesis	Unipathway	4
UPA00063	cholesterol biosynthesis	Unipathway	7
UPA00064	1-deoxy-D-xylulose 5-phosphate biosynthesis	Unipathway	4
UPA00065	5,6,7,8-tetrahydromethanopterin biosynthesis	Unipathway	5
UPA00066	streptomycin biosynthesis	Unipathway	3
UPA00067	ectoine biosynthesis	Unipathway	5
UPA00068	L-arginine biosynthesis	Unipathway	5
UPA00069	5,6,7,8-tetrahydrosarcinapterin biosynthesis	Unipathway	5
UPA00070	UMP biosynthesis via de novo pathway	Unipathway	7
UPA00071	coenzyme F420 biosynthesis	Unipathway	5
UPA00072	coenzyme F0 biosynthesis	Unipathway	5
UPA00073	L-arginine degradation	Unipathway	5
UPA00074	IMP biosynthesis via de novo pathway	Unipathway	7
UPA00075	AMP biosynthesis via de novo pathway	Unipathway	7
UPA00076	myo-inositol degradation into acetyl-CoA	Unipathway	7
UPA00077	tetrahydrofolate biosynthesis	Unipathway	4
