Feature_id	Term_id	Score
52777	HP:0003674	1.41
52777	HP:0011007	0.37
57196,57196,57196,57196,57196,57196,57196	HP:0003674	1.22
57196,57196,57196,57196,57196,57196,57196	HP:0011007	0.32
46966,46966,46966	HP:0011463	4.65
46966,46966,46966	HP:0003674	1.73
46966,46966,46966,46966,46966	HP:0011463	5.33
46966,46966,46966,46966,46966	HP:0003674	1.58
69318,69179,69179,69179	HP:0003674	1.22
69318,69179,69179,69179	HP:0011007	0.32
57196,57196,57196,57196,57196	HP:0003674	1.73
57196,57196,57196,57196,57196	HP:0011007	0.46
56645,47203	HP:0003674	1.22
56645,47203	HP:0011007	0.32
57630,57196	HP:0003812	2.61
57630,57196	HP:0003828	2.01
48264	HP:0003623	6.34
57196,57196,57196,57196	HP:0003674	1.73
57196,57196,57196,57196	HP:0011007	0.46
51445	HP:0003674	1.87
51445	HP:0011007	0.49
47203	HP:0003674	1.22
47203	HP:0011007	0.32
48508	HP:0003674	1.41
48508	HP:0011007	0.37
57630	HP:0003828	2.32
69179,69179	HP:0003674	1.22
69179,69179	HP:0011007	0.32
69318	HP:0003674	1.22
69318	HP:0011007	0.32
50156	HP:0003674	1.73
50156	HP:0011007	0.46
57196,57196,57196,57196,57196,57196	HP:0003674	1.41
57196,57196,57196,57196,57196,57196	HP:0011007	0.37
57716,57716,57716	HP:0003674	1.22
57716,57716,57716	HP:0011007	0.32
55550	HP:0003674	1.87
55550	HP:0011007	0.49
46966,46966,46966,46966	HP:0011463	5.33
46966,46966,46966,46966	HP:0003674	1.58
57196,57196,57196	HP:0003674	2
57196,57196,57196	HP:0011007	0.53
54001	HP:0003674	1.41
54001	HP:0011007	0.37
69318,69179	HP:0003674	1.22
69318,69179	HP:0011007	0.32
46966,46966	HP:0011463	4.65
46966,46966	HP:0003674	1.73
69179	HP:0003674	1.22
69179	HP:0011007	0.32
69318,69179,69179	HP:0003674	1.22
69318,69179,69179	HP:0011007	0.32
103657	HP:0003674	1.22
49764	HP:0003677	2.15
49764	HP:0003679	2.92
49899,49899	HP:0003674	1.22
49899,49899	HP:0011007	0.32
46966	HP:0011463	4.65
53448	HP:0003674	1.73
53448	HP:0011007	0.46
56487	HP:0003674	1.22
56487	HP:0011007	0.32
49313	HP:0003674	1.22
49313	HP:0011007	0.32
53067	HP:0003674	1.58
53067	HP:0011007	0.42
48065,50729	HP:0003674	1.73
48065,50729	HP:0011007	0.46
53067,53067	HP:0003674	1.41
53067,53067	HP:0011007	0.37
53300,53300	HP:0003676	2.01
53300,53300	HP:0003828	2.32
