ID	Name	Namespace	Distance
GO:0000002	mitochondrial genome maintenance	biological_process	6
GO:0000012	single strand break repair	biological_process	9
GO:0000015	phosphopyruvate hydratase complex	cellular_component	4
GO:0000027	ribosomal large subunit assembly	biological_process	7
GO:0000030	mannosyltransferase activity	molecular_function	6
GO:0000034	adenine deaminase activity	molecular_function	4
GO:0000041	transition metal ion transport	biological_process	9
GO:0000042	protein targeting to Golgi	biological_process	8
GO:0000045	autophagic vacuole assembly	biological_process	6
GO:0000046	autophagic vacuole fusion	biological_process	6
GO:0000049	tRNA binding	molecular_function	6
GO:0000055	ribosomal large subunit export from nucleus	biological_process	11
GO:0000062	fatty-acyl-CoA binding	molecular_function	5
GO:0000075	cell cycle checkpoint	biological_process	9
GO:0000077	DNA damage checkpoint	biological_process	7
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	6
GO:0000082	G1/S transition of mitotic cell cycle	biological_process	8
GO:0000087	M phase of mitotic cell cycle	biological_process	6
GO:0000090	mitotic anaphase	biological_process	9
GO:0000096	sulfur amino acid metabolic process	biological_process	5
GO:0000103	sulfate assimilation	biological_process	5
GO:0000104	succinate dehydrogenase activity	molecular_function	5
GO:0000105	histidine biosynthetic process	biological_process	6
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	6
GO:0000118	histone deacetylase complex	cellular_component	4
GO:0000120	RNA polymerase I transcription factor complex	cellular_component	13
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	biological_process	11
GO:0000123	histone acetyltransferase complex	cellular_component	4
GO:0000124	SAGA complex	cellular_component	15
GO:0000126	transcription factor TFIIIB complex	cellular_component	14
GO:0000128	flocculation	biological_process	4
GO:0000139	Golgi membrane	cellular_component	5
GO:0000145	exocyst	cellular_component	4
GO:0000148	1,3-beta-D-glucan synthase complex	cellular_component	4
GO:0000149	SNARE binding	molecular_function	4
GO:0000150	recombinase activity	molecular_function	3
GO:0000151	ubiquitin ligase complex	cellular_component	4
GO:0000154	rRNA modification	biological_process	9
GO:0000155	phosphorelay sensor kinase activity	molecular_function	5
GO:0000156	phosphorelay response regulator activity	molecular_function	4
GO:0000159	protein phosphatase type 2A complex	cellular_component	5
GO:0000160	phosphorelay signal transduction system	biological_process	6
GO:0000162	tryptophan biosynthetic process	biological_process	10
GO:0000164	protein phosphatase type 1 complex	cellular_component	5
GO:0000166	nucleotide binding	molecular_function	4
GO:0000172	ribonuclease MRP complex	cellular_component	8
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	8
GO:0000176	nuclear exosome (RNase complex)	cellular_component	7
GO:0000178	exosome (RNase complex)	cellular_component	4
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	7
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological_process	11
GO:0000186	activation of MAPKK activity	biological_process	9
GO:0000187	activation of MAPK activity	biological_process	13
GO:0000209	protein polyubiquitination	biological_process	11
GO:0000210	NAD+ diphosphatase activity	molecular_function	8
GO:0000213	tRNA-intron endonuclease activity	molecular_function	8
GO:0000214	tRNA-intron endonuclease complex	cellular_component	4
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	cellular_component	7
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular_component	7
GO:0000226	microtubule cytoskeleton organization	biological_process	5
GO:0000228	nuclear chromosome	cellular_component	9
GO:0000234	phosphoethanolamine N-methyltransferase activity	molecular_function	7
GO:0000244	assembly of spliceosomal tri-snRNP	biological_process	8
