id	level	description
IPR000003	InterPro	Retinoid X receptor/HNF4
IPR000006	InterPro	Metallothionein, vertebrate
IPR000008	InterPro	C2 domain
IPR000009	InterPro	Protein phosphatase 2A, regulatory subunit PR55
IPR000010	InterPro	Proteinase inhibitor I25, cystatin
IPR000011	InterPro	Ubiquitin/SUMO-activating enzyme E1
IPR000012	InterPro	Retroviral VpR/VpX protein
IPR000013	InterPro	Peptidase M7, snapalysin
IPR000014	InterPro	PAS domain
IPR000015	InterPro	Outer membrane usher protein
IPR000018	InterPro	P2Y purinoceptor 4
IPR000020	InterPro	Anaphylatoxin/fibulin
IPR000021	InterPro	Hok/gef cell toxic protein
IPR000022	InterPro	Carboxyl transferase
IPR000023	InterPro	Phosphofructokinase domain
IPR000025	InterPro	Melatonin receptor family
IPR000026	InterPro	Guanine-specific ribonuclease N1/T1
IPR000028	InterPro	Chloroperoxidase
IPR000031	InterPro	Phosphoribosylaminoimidazole carboxylase PurE domain
IPR000035	InterPro	Alkylbase DNA glycosidase, conserved site
IPR000036	InterPro	Peptidase A26, omptin
IPR000037	InterPro	SsrA-binding protein
IPR000038	InterPro	Cell division protein GTP binding
IPR000039	InterPro	Ribosomal protein L18e
IPR000040	InterPro	Acute myeloid leukemia 1 protein (AML1)/Runt
IPR000043	InterPro	Adenosylhomocysteinase
IPR000044	InterPro	Uncharacterised lipoprotein MG045
IPR000045	InterPro	Prepilin type IV endopeptidase, peptidase domain
IPR000046	InterPro	Neurokinin NK1 receptor
IPR000047	InterPro	Helix-turn-helix motif
IPR000048	InterPro	IQ motif, EF-hand binding site
IPR000049	InterPro	Electron transfer flavoprotein, beta-subunit, conserved site
IPR000052	InterPro	Potex/carlavirus coat protein
IPR000053	InterPro	Pyrimidine-nucleoside phosphorylase
IPR000054	InterPro	Ribosomal protein L31e
IPR000055	InterPro	Restriction endonuclease, type I, HsdS
IPR000056	InterPro	Ribulose-phosphate 3-epimerase-like
IPR000057	InterPro	CXC chemokine receptor 2
IPR000058	InterPro	Zinc finger, AN1-type
IPR000059	InterPro	NUDIX hydrolase, NudL, conserved site
IPR000060	InterPro	BCCT transporter family
IPR000061	InterPro	SWAP/Surp
IPR000065	InterPro	Leptin
IPR000066	InterPro	Antenna complex, alpha/beta subunit
IPR000067	InterPro	Flagellar M-ring protein FliF
IPR000069	InterPro	Envelope glycoprotein M, flavivirus
IPR000070	InterPro	Pectinesterase, catalytic
IPR000071	InterPro	Immunodeficiency lentiviral matrix, N-terminal
IPR000072	InterPro	PDGF/VEGF domain
IPR000074	InterPro	Apolipoprotein A1/A4/E
IPR000076	InterPro	K-Cl co-transporter
IPR000077	InterPro	Ribosomal protein L39e
IPR000079	InterPro	High mobility group nucleosome-binding domain-containing family
IPR000081	InterPro	Peptidase C3, picornavirus core protein 2A
IPR000083	InterPro	Fibronectin, type I
IPR000085	InterPro	Bacterial DNA recombination protein RuvA
IPR000086	InterPro	NUDIX hydrolase domain
IPR000090	InterPro	Flagellar motor switch protein FliG
IPR000091	InterPro	Huntingtin
IPR000092	InterPro	Polyprenyl synthetase
IPR000093	InterPro	DNA recombination protein RecR
IPR000096	InterPro	Serum amyloid A protein
IPR000098	InterPro	Interleukin-10
IPR000100	InterPro	Ribonuclease P
IPR000101	InterPro	Gamma-glutamyltranspeptidase
IPR000103	InterPro	Pyridine nucleotide-disulphide oxidoreductase, class-II
