id	level	description
PF00389	Pfam	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00198	Pfam	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF04029	Pfam	2-phosphosulpholactate phosphatase
PF03171	Pfam	2OG-Fe(II) oxygenase superfamily
PF01073	Pfam	3-beta hydroxysteroid dehydrogenase/isomerase family
PF04419	Pfam	4F5 protein family
PF03061	Pfam	Thioesterase superfamily
PF02872	Pfam	5'-nucleotidase, C-terminal domain
PF00003	Pfam	7 transmembrane sweet-taste receptor of 3 GCPR
PF01661	Pfam	Macro domain
PF02177	Pfam	Amyloid A4 N-terminal heparin-binding
PF00962	Pfam	Adenosine/AMP deaminase
PF01490	Pfam	Transmembrane amino acid transporter protein
PF00004	Pfam	ATPase family associated with various cellular activities (AAA)
PF00696	Pfam	Amino acid kinase family
PF03109	Pfam	ABC1 family
PF01842	Pfam	ACT domain
PF04083	Pfam	Partial alpha/beta-hydrolase lipase region
PF00583	Pfam	Acetyltransferase (GNAT) family
PF01648	Pfam	4'-phosphopantetheinyl transferase superfamily
PF01064	Pfam	Activin types I and II receptor domain
PF00441	Pfam	Acyl-CoA dehydrogenase, C-terminal domain
PF01757	Pfam	Acyltransferase family
PF00928	Pfam	Adaptor complexes medium subunit family
PF00107	Pfam	Zinc-binding dehydrogenase
PF02682	Pfam	Allophanate hydrolase subunit 1
PF03915	Pfam	Actin interacting protein 3
PF00842	Pfam	Alanine racemase, C-terminal domain
PF01168	Pfam	Alanine racemase, N-terminal domain
PF01315	Pfam	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
PF02738	Pfam	Molybdopterin-binding domain of aldehyde dehydrogenase
PF00248	Pfam	Aldo/keto reductase family
PF01263	Pfam	Aldose 1-epimerase
PF03155	Pfam	ALG6, ALG8 glycosyltransferase family
PF00245	Pfam	Alkaline phosphatase
PF02806	Pfam	Alpha amylase, C-terminal all-beta domain
PF05111	Pfam	Ameloblastin precursor (Amelin)
PF01510	Pfam	N-acetylmuramoyl-L-alanine amidase
PF01520	Pfam	N-acetylmuramoyl-L-alanine amidase
PF01593	Pfam	Flavin containing amine oxidoreductase
PF00501	Pfam	AMP-binding enzyme
PF05195	Pfam	Aminopeptidase P, N-terminal domain
PF03098	Pfam	Animal haem peroxidase
PF01821	Pfam	Anaphylotoxin-like domain
PF01094	Pfam	Receptor family ligand binding region
PF00023	Pfam	Ankyrin repeat
PF00191	Pfam	Annexin
PF03861	Pfam	ANTAR domain
PF04729	Pfam	ASF1 like histone chaperone
PF02822	Pfam	Antistasin family
PF00847	Pfam	AP2 domain
PF02424	Pfam	ApbE family
PF04049	Pfam	Anaphase promoting complex subunit 8 / Cdc23 
PF04106	Pfam	Autophagy protein Apg5 
PF04602	Pfam	Mycobacterial cell wall arabinan synthesis protein
PF03079	Pfam	ARD/ARD' family
PF01412	Pfam	Putative GTPase activating protein for Arf
PF01388	Pfam	ARID/BRIGHT DNA binding domain
PF04683	Pfam	Proteasome complex subunit Rpn13 ubiquitin receptor
PF00514	Pfam	Armadillo/beta-catenin-like repeat
PF00339	Pfam	Arrestin (or S-antigen), N-terminal domain
PF02752	Pfam	Arrestin (or S-antigen), C-terminal domain
PF04959	Pfam	Arsenite-resistance protein 2
PF01037	Pfam	AsnC family
PF05118	Pfam	Aspartyl/Asparaginyl beta-hydroxylase
PF01177	Pfam	Asp/Glu/Hydantoin racemase
PF01400	Pfam	Astacin (Peptidase family M12A)
PF02178	Pfam	AT hook motif
PF03029	Pfam	Conserved hypothetical ATP binding protein
PF00306	Pfam	ATP synthase alpha/beta chain, C terminal domain
PF02874	Pfam	ATP synthase alpha/beta family, beta-barrel domain
PF04718	Pfam	Mitochondrial ATP synthase g subunit
PF03768	Pfam	Attacin, N-terminal region
PF03797	Pfam	Autotransporter beta-domain
PF03547	Pfam	Membrane transport protein
PF02310	Pfam	B12 binding domain
PF02607	Pfam	B12 binding domain
PF02362	Pfam	B3 DNA binding domain
PF01313	Pfam	Bacterial export proteins, family 3
PF02673	Pfam	Bacitracin resistance protein BacA
PF01011	Pfam	PQQ enzyme repeat
PF03704	Pfam	Bacterial transcriptional activator domain
PF01426	Pfam	BAH domain
PF01145	Pfam	SPFH domain / Band 7 family
PF03594	Pfam	Benzoate membrane transport protein
PF02944	Pfam	BESS motif
PF02369	Pfam	Bacterial Ig-like domain (group 1)
PF02785	Pfam	Biotin carboxylase C-terminal domain
PF02012	Pfam	BNR/Asp-box repeat
PF00528	Pfam	Binding-protein-dependent transport system inner membrane component
PF02237	Pfam	Biotin protein ligase C terminal domain
PF03099	Pfam	Biotin/lipoate A/B protein ligase family
PF02485	Pfam	Core-2/I-Branching enzyme
PF00533	Pfam	BRCA1 C Terminus (BRCT) domain
PF04089	Pfam	BRICHOS domain
PF04427	Pfam	Brix domain
PF03097	Pfam	BRO1-like domain
PF00439	Pfam	Bromodomain
PF03909	Pfam	BSD domain  
PF03092	Pfam	BT1 family
PF00651	Pfam	BTB/POZ domain
PF03437	Pfam	BtpA family
PF03131	Pfam	bZIP Maf transcription factor
PF00168	Pfam	C2 domain
PF02743	Pfam	Cache domain
PF04857	Pfam	CAF1 family ribonuclease
PF03135	Pfam	CagE, TrbE, VirB family, component of type IV transporter system
PF02515	Pfam	CoA-transferase family III
PF02888	Pfam	Calmodulin binding domain
PF01302	Pfam	CAP-Gly domain
PF01039	Pfam	Carboxyl transferase domain
PF00755	Pfam	Choline/Carnitine o-acyltransferase
PF03378	Pfam	CAS/CSE protein, C-terminus
PF00690	Pfam	Cation transporter/ATPase, N-terminus
PF01545	Pfam	Cation efflux family
PF04586	Pfam	Caudovirus prohead protease
PF01607	Pfam	Chitin binding Peritrophin-A domain
PF00942	Pfam	Cellulose binding domain
PF02018	Pfam	Carbohydrate binding domain
PF03422	Pfam	Carbohydrate binding module (family 6)
PF00571	Pfam	CBS domain
PF02754	Pfam	Cysteine-rich domain
PF03379	Pfam	CcmB protein
PF04103	Pfam	CD20-like family
PF05179	Pfam	RNA pol II accessory factor, Cdc73 family
PF01066	Pfam	CDP-alcohol phosphatidyltransferase
PF00150	Pfam	Cellulase (glycosyl hydrolase family 5)
PF04218	Pfam	CENP-B N-terminal DNA-binding domain
PF04734	Pfam	Neutral/alkaline non-lysosomal ceramidase
PF03859	Pfam	CG-1 domain
PF00307	Pfam	Calponin homology (CH) domain
PF04420	Pfam	CHD5-like protein
PF03067	Pfam	Chitin binding domain
PF00379	Pfam	Insect cuticle protein
PF04968	Pfam	CHORD 
PF02017	Pfam	CIDE-N domain
PF02487	Pfam	CLN3 protein
PF02861	Pfam	Clp amino terminal domain
PF02353	Pfam	Mycolic acid cyclopropane synthetase
PF00780	Pfam	CNH domain
PF00027	Pfam	Cyclic nucleotide-binding domain
PF02629	Pfam	CoA binding domain
PF01144	Pfam	Coenzyme A transferase
PF02514	Pfam	CobN/Magnesium Chelatase
PF02492	Pfam	CobW/HypB/UreG, nucleotide-binding domain
PF00135	Pfam	Carboxylesterase family
PF01484	Pfam	Nematode cuticle collagen N-terminal domain
PF01391	Pfam	Collagen triple helix repeat (20 copies)
PF03772	Pfam	Competence protein
PF05071	Pfam	NADH ubiquinone oxidoreductase subunit NDUFA12
PF00329	Pfam	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF02950	Pfam	Conotoxin
PF05019	Pfam	Coenzyme Q (ubiquinone) biosynthesis protein Coq4
PF03471	Pfam	Transporter associated domain
