"term_id"	"nAnno"	"nGroup"	"nOverlap"	"zscore"	"pvalue"	"adjp"	"term_name"	"term_namespace"	"term_distance"	"members"
"DOID:14566"	196	11	11	1.16	0	0	"disease of cellular proliferation"	"Disease_Ontology"	" 1"	"57944,47353,57630,110035,69125,47686,48552,75399,57392,54117,47266"
"DOID:2583"	11	11	4	4.87	4.6e-05	0.0017	"agammaglobulinemia"	"Disease_Ontology"	" 5"	"47686,57392,54117,47266"
"DOID:620"	12	11	4	4.61	7.7e-05	0.0017	"blood protein disease"	"Disease_Ontology"	" 4"	"47686,57392,54117,47266"
"DOID:2115"	12	11	4	4.61	7.7e-05	0.0017	"B cell deficiency"	"Disease_Ontology"	" 4"	"47686,57392,54117,47266"
"DOID:7004"	12	11	4	4.61	7.7e-05	0.0017	"ACTH-secreting pituitary adenoma"	"Disease_Ontology"	" 7"	"47686,57392,54117,47266"
"DOID:5395"	13	11	4	4.37	0.00012	0.0022	"functioning pituitary adenoma"	"Disease_Ontology"	" 6"	"47686,57392,54117,47266"
"DOID:421"	14	11	4	4.16	0.00019	0.0025	"hair disease"	"Disease_Ontology"	" 3"	"47686,57392,54117,47266"
"DOID:8689"	14	11	4	4.16	0.00019	0.0025	"anorexia nervosa"	"Disease_Ontology"	" 5"	"57944,57392,54117,47266"
"DOID:2213"	15	11	4	3.97	0.00027	0.0033	"hemorrhagic disease"	"Disease_Ontology"	" 5"	"57944,47686,54117,47266"
"DOID:8670"	16	11	4	3.79	0.00039	0.0042	"eating disorder"	"Disease_Ontology"	" 4"	"57944,57392,54117,47266"
"DOID:3829"	18	11	4	3.48	0.00072	0.0071	"pituitary adenoma"	"Disease_Ontology"	" 5"	"47686,57392,54117,47266"
"DOID:936"	45	11	6	2.86	0.0017	0.016	"brain disease"	"Disease_Ontology"	" 4"	"57944,57630,47686,57392,54117,47266"
"DOID:2452"	24	11	4	2.76	0.0031	0.026	"thrombophilia"	"Disease_Ontology"	" 5"	"57944,47686,54117,47266"
"DOID:5100"	25	11	4	2.66	0.0038	0.027	"middle ear disease"	"Disease_Ontology"	" 5"	"57630,110035,54117,47266"
"DOID:1826"	37	11	5	2.59	0.0039	0.027	"epilepsy syndrome"	"Disease_Ontology"	" 5"	"57944,57630,47686,54117,47266"
"DOID:557"	26	11	4	2.57	0.0045	0.027	"kidney disease"	"Disease_Ontology"	" 3"	"57944,57630,47686,54117"
"DOID:0060089"	26	11	4	2.57	0.0045	0.027	"endocrine organ benign neoplasm"	"Disease_Ontology"	" 4"	"47686,57392,54117,47266"
"DOID:2893"	26	11	4	2.57	0.0045	0.027	"cervix carcinoma"	"Disease_Ontology"	" 7"	"47686,75399,54117,47266"
"DOID:4362"	27	11	4	2.48	0.0054	0.028	"cervical cancer"	"Disease_Ontology"	" 6"	"47686,75399,54117,47266"
"DOID:0050702"	27	11	4	2.48	0.0054	0.028	"neonatoal period electroclinical syndrome"	"Disease_Ontology"	" 7"	"57944,47686,54117,47266"
"DOID:0060072"	70	11	7	2.31	0.0055	0.028	"benign neoplasm"	"Disease_Ontology"	" 2"	"57944,57630,47686,48552,57392,54117,47266"
"DOID:18"	28	11	4	2.4	0.0064	0.028	"urinary system disease"	"Disease_Ontology"	" 2"	"57944,57630,47686,54117"
"DOID:0050701"	28	11	4	2.4	0.0064	0.028	"electroclinical syndrome"	"Disease_Ontology"	" 6"	"57944,47686,54117,47266"
"DOID:0060095"	28	11	4	2.4	0.0064	0.028	"uterine benign neoplasm"	"Disease_Ontology"	" 6"	"57944,47686,54117,47266"
"DOID:110"	28	11	4	2.4	0.0064	0.028	"lens disease"	"Disease_Ontology"	" 6"	"47686,75399,54117,47266"
"DOID:0060038"	41	11	5	2.33	0.0068	0.028	"specific developmental disorder"	"Disease_Ontology"	" 3"	"57944,47686,57392,54117,47266"
"DOID:0060085"	56	11	6	2.26	0.0071	0.028	"organ system benign neoplasm"	"Disease_Ontology"	" 3"	"57944,47686,48552,57392,54117,47266"
"DOID:0050136"	18	11	3	2.36	0.0074	0.028	"systemic mycosis"	"Disease_Ontology"	" 3"	"57944,57392,54117"
"DOID:0050622"	29	11	4	2.32	0.0076	0.028	"reproductive organ benign neoplasm"	"Disease_Ontology"	" 4"	"57944,47686,54117,47266"
"DOID:0060086"	29	11	4	2.32	0.0076	0.028	"female reproductive organ benign neoplasm"	"Disease_Ontology"	" 5"	"57944,47686,54117,47266"
"DOID:1564"	19	11	3	2.24	0.0092	0.032	"fungal infectious disease"	"Disease_Ontology"	" 2"	"57944,57392,54117"
"DOID:612"	44	11	5	2.15	0.0099	0.034	"primary immunodeficiency disease"	"Disease_Ontology"	" 3"	"57944,47686,57392,54117,47266"
"DOID:1247"	32	11	4	2.09	0.012	0.039	"blood coagulation disease"	"Disease_Ontology"	" 4"	"57944,47686,54117,47266"
"DOID:120"	46	11	5	2.04	0.013	0.04	"female reproductive organ cancer"	"Disease_Ontology"	" 5"	"57630,47686,75399,54117,47266"
"DOID:8506"	21	11	3	2.04	0.013	0.042	"bullous pemphigoid"	"Disease_Ontology"	" 6"	"57630,47686,47266"
"DOID:331"	80	11	7	1.91	0.014	0.043	"central nervous system disease"	"Disease_Ontology"	" 3"	"57944,57630,69125,47686,57392,54117,47266"
"DOID:0050338"	22	11	3	1.95	0.016	0.047	"primary bacterial infectious disease"	"Disease_Ontology"	" 3"	"57944,57630,47266"
"DOID:863"	126	11	9	1.67	0.018	0.052	"nervous system disease"	"Disease_Ontology"	" 2"	"57944,57630,110035,69125,47686,75399,57392,54117,47266"
"DOID:0060037"	50	11	5	1.83	0.019	0.052	"developmental disorder of mental health"	"Disease_Ontology"	" 2"	"57944,47686,57392,54117,47266"
"DOID:193"	50	11	5	1.83	0.019	0.052	"reproductive organ cancer"	"Disease_Ontology"	" 4"	"57630,47686,75399,54117,47266"
